epoch 1: dev_f1=0.629951690821256, f1=0.6535362578334826, best_f1=0.6535362578334826
epoch 2: dev_f1=0.6481687014428413, f1=0.6722513089005235, best_f1=0.6722513089005235
epoch 3: dev_f1=0.6690476190476191, f1=0.6834061135371179, best_f1=0.6834061135371179
epoch 1: dev_f1=0.6673122444587906, f1=0.6699539071711867, best_f1=0.6699539071711867
epoch 2: dev_f1=0.6682242990654206, f1=0.6719096145325654, best_f1=0.6719096145325654
epoch 3: dev_f1=0.6733504313359757, f1=0.6779858123037562, best_f1=0.6779858123037562
epoch 1: dev_f1=0.6997558991049634, f1=0.7170693686671863, best_f1=0.7170693686671863
epoch 2: dev_f1=0.7096273291925465, f1=0.7271352985638699, best_f1=0.7271352985638699
epoch 3: dev_f1=0.7170773152081564, f1=0.7254740313272877, best_f1=0.7254740313272877
epoch 1: dev_f1=0.7828843106180666, f1=0.7858419243986254, best_f1=0.7858419243986254
epoch 2: dev_f1=0.7828843106180666, f1=0.7858419243986254, best_f1=0.7858419243986254
epoch 3: dev_f1=0.7897652719055256, f1=0.7938987009195738, best_f1=0.7938987009195738
epoch 1: dev_f1=0.4220379146919432, f1=0.4105213715359323, best_f1=0.4105213715359323
epoch 2: dev_f1=0.42604651162790697, f1=0.41695541695541694, best_f1=0.41695541695541694
epoch 3: dev_f1=0.428521332554062, f1=0.4178654292343387, best_f1=0.4178654292343387
epoch 1: dev_f1=0.3366199276618937, f1=0.34366835904766596, best_f1=0.34366835904766596
epoch 2: dev_f1=0.34566233766233767, f1=0.3535301403798513, best_f1=0.3535301403798513
epoch 3: dev_f1=0.3485956924336215, f1=0.35523780549639994, best_f1=0.35523780549639994
epoch 1: dev_f1=0.8731138545953361, f1=0.8814840261078666, best_f1=0.8814840261078666
epoch 2: dev_f1=0.8760727772056299, f1=0.8834019204389574, best_f1=0.8834019204389574
epoch 3: dev_f1=0.8769017980636238, f1=0.8829823955816363, best_f1=0.8829823955816363
epoch 1: dev_f1=0.260130798850926, f1=0.2679754452075609, best_f1=0.2679754452075609
epoch 2: dev_f1=0.2576152158010242, f1=0.2653810300629224, best_f1=0.2679754452075609
epoch 3: dev_f1=0.2576152158010242, f1=0.2653810300629224, best_f1=0.2679754452075609
