epoch 1: dev_f1=0.4484086242299795, f1=0.4704988604710053, best_f1=0.4704988604710053
epoch 2: dev_f1=0.4553175307390037, f1=0.4756783793922721, best_f1=0.4756783793922721
epoch 3: dev_f1=0.4617175375064667, f1=0.47969348659003835, best_f1=0.47969348659003835
epoch 1: dev_f1=0.5860630665702686, f1=0.5904011977708153, best_f1=0.5904011977708153
epoch 2: dev_f1=0.5922552510281252, f1=0.596164956394949, best_f1=0.596164956394949
epoch 3: dev_f1=0.5974349008938982, f1=0.6025393391537253, best_f1=0.6025393391537253
epoch 1: dev_f1=0.6018588294398393, f1=0.6143163741951773, best_f1=0.6143163741951773
epoch 2: dev_f1=0.6123643458114864, f1=0.6226484691995574, best_f1=0.6226484691995574
epoch 3: dev_f1=0.6135715171814912, f1=0.6253139126067302, best_f1=0.6253139126067302
epoch 1: dev_f1=0.9456228306980332, f1=0.9402045633359559, best_f1=0.9402045633359559
epoch 2: dev_f1=0.9462698105914188, f1=0.9420118343195266, best_f1=0.9420118343195266
epoch 3: dev_f1=0.9470046082949308, f1=0.9430577223088924, best_f1=0.9430577223088924
epoch 1: dev_f1=0.2670973750072755, f1=0.2577681549534788, best_f1=0.2577681549534788
epoch 2: dev_f1=0.2670973750072755, f1=0.2577681549534788, best_f1=0.2577681549534788
epoch 3: dev_f1=0.2670973750072755, f1=0.2577681549534788, best_f1=0.2577681549534788
