epoch 1: dev_f1=0.6305418719211823, f1=0.6409048067860509, best_f1=0.6409048067860509
epoch 2: dev_f1=0.6332278481012658, f1=0.6418167580266249, best_f1=0.6418167580266249
epoch 3: dev_f1=0.6388888888888888, f1=0.6441251056635672, best_f1=0.6441251056635672
epoch 4: dev_f1=0.6409512761020882, f1=0.6464444126484475, best_f1=0.6464444126484475
epoch 5: dev_f1=0.6404099560761347, f1=0.6452076447765484, best_f1=0.6464444126484475
epoch 6: dev_f1=0.6419463579070791, f1=0.6455897213801067, best_f1=0.6455897213801067
epoch 7: dev_f1=0.6410070901461438, f1=0.6492399488563717, best_f1=0.6455897213801067
epoch 8: dev_f1=0.640303516708011, f1=0.6467975354635335, best_f1=0.6455897213801067
epoch 9: dev_f1=0.6379843819065861, f1=0.6473485946102578, best_f1=0.6455897213801067
epoch 10: dev_f1=0.6364566583832774, f1=0.6463484761357101, best_f1=0.6455897213801067
epoch 1: dev_f1=0.9809473405662874, f1=0.9801429706115965, best_f1=0.9801429706115965
epoch 2: dev_f1=0.9810971579643093, f1=0.980309237478525, best_f1=0.980309237478525
epoch 3: dev_f1=0.982135768161969, f1=0.9821404947744411, best_f1=0.9821404947744411
epoch 4: dev_f1=0.9823584029712163, f1=0.9816927566993897, best_f1=0.9816927566993897
epoch 5: dev_f1=0.9822328294881995, f1=0.9818326481898951, best_f1=0.9816927566993897
epoch 6: dev_f1=0.9816404702152951, f1=0.9815157116451018, best_f1=0.9816927566993897
epoch 7: dev_f1=0.9815059445178336, f1=0.9813763043191125, best_f1=0.9816927566993897
epoch 8: dev_f1=0.9816404702152951, f1=0.9815108293713682, best_f1=0.9816927566993897
epoch 9: dev_f1=0.9810420257192098, f1=0.9808815719596389, best_f1=0.9816927566993897
epoch 10: dev_f1=0.9813713832738803, f1=0.981899854670366, best_f1=0.9816927566993897
epoch 1: dev_f1=0.3217640182206636, f1=0.311939995945672, best_f1=0.311939995945672
epoch 2: dev_f1=0.3466666666666666, f1=0.33185869924067346, best_f1=0.33185869924067346
epoch 3: dev_f1=0.34573554665140244, f1=0.32794869713450764, best_f1=0.33185869924067346
epoch 4: dev_f1=0.34919609995480083, f1=0.33440177928959247, best_f1=0.33440177928959247
epoch 5: dev_f1=0.3488890724374329, f1=0.34198523924040136, best_f1=0.33440177928959247
epoch 6: dev_f1=0.3514160913061857, f1=0.3391150442477876, best_f1=0.3391150442477876
epoch 7: dev_f1=0.35502183406113536, f1=0.34092740458574466, best_f1=0.34092740458574466
epoch 8: dev_f1=0.3572523765716038, f1=0.3449714197435501, best_f1=0.3449714197435501
epoch 9: dev_f1=0.3564259962973789, f1=0.3435958160647326, best_f1=0.3449714197435501
epoch 10: dev_f1=0.3587342345744279, f1=0.3440778470427246, best_f1=0.3440778470427246
epoch 1: dev_f1=0.7771815871222819, f1=0.7811030951826855, best_f1=0.7811030951826855
epoch 2: dev_f1=0.7818596171376482, f1=0.7858456294568775, best_f1=0.7858456294568775
epoch 3: dev_f1=0.7831359278059785, f1=0.7882500348043993, best_f1=0.7882500348043993
epoch 4: dev_f1=0.7830827238450006, f1=0.7862544185422167, best_f1=0.7882500348043993
epoch 5: dev_f1=0.7829732932276, f1=0.7859740492973556, best_f1=0.7882500348043993
epoch 6: dev_f1=0.7865294145046345, f1=0.7904131014812771, best_f1=0.7904131014812771
epoch 7: dev_f1=0.7858764654093878, f1=0.7891511159897547, best_f1=0.7904131014812771
epoch 8: dev_f1=0.7869157141529597, f1=0.7903159246182769, best_f1=0.7903159246182769
epoch 9: dev_f1=0.7864444755636466, f1=0.7915705985428387, best_f1=0.7903159246182769
epoch 10: dev_f1=0.7866821885913854, f1=0.7914827078734363, best_f1=0.7903159246182769
epoch 1: dev_f1=0.7046174452911471, f1=0.7030447674839083, best_f1=0.7030447674839083
