epoch 1: dev_f1=0.7405247813411079, f1=0.739413680781759, best_f1=0.739413680781759
epoch 2: dev_f1=0.8052708638360175, f1=0.8180300500834725, best_f1=0.8180300500834725
epoch 3: dev_f1=0.8011695906432749, f1=0.8441558441558441, best_f1=0.8180300500834725
epoch 4: dev_f1=0.8313253012048193, f1=0.8533333333333334, best_f1=0.8533333333333334
epoch 5: dev_f1=0.8271604938271604, f1=0.8439108061749571, best_f1=0.8533333333333334
epoch 6: dev_f1=0.8430493273542601, f1=0.8467874794069193, best_f1=0.8467874794069193
epoch 7: dev_f1=0.8594507269789984, f1=0.8520499108734403, best_f1=0.8520499108734403
epoch 8: dev_f1=0.8810975609756098, f1=0.8991735537190083, best_f1=0.8991735537190083
epoch 9: dev_f1=0.8835098335854765, f1=0.8903654485049834, best_f1=0.8903654485049834
epoch 10: dev_f1=0.8861911987860395, f1=0.8921568627450981, best_f1=0.8921568627450981
epoch 11: dev_f1=0.8923556942277692, f1=0.8967851099830796, best_f1=0.8967851099830796
epoch 12: dev_f1=0.8915304606240713, f1=0.8982229402261712, best_f1=0.8967851099830796
epoch 13: dev_f1=0.8925869894099848, f1=0.8878048780487805, best_f1=0.8878048780487805
epoch 14: dev_f1=0.8928571428571428, f1=0.8957654723127036, best_f1=0.8957654723127036
epoch 15: dev_f1=0.8953846153846154, f1=0.8981636060100167, best_f1=0.8981636060100167
epoch 16: dev_f1=0.8995363214837713, f1=0.9, best_f1=0.9
epoch 17: dev_f1=0.8988095238095237, f1=0.8964401294498382, best_f1=0.9
epoch 18: dev_f1=0.8995363214837713, f1=0.9090909090909092, best_f1=0.9
epoch 19: dev_f1=0.9021406727828747, f1=0.9087893864013267, best_f1=0.9087893864013267
epoch 20: dev_f1=0.8995363214837713, f1=0.9048414023372287, best_f1=0.9087893864013267
epoch 1: dev_f1=0.553500181356547, f1=0.5520115984052193, best_f1=0.5520115984052193
epoch 2: dev_f1=0.554523684364231, f1=0.554655162362269, best_f1=0.554655162362269
epoch 3: dev_f1=0.5529799410370542, f1=0.5532430095128279, best_f1=0.554655162362269
epoch 4: dev_f1=0.5573282533634957, f1=0.5589024753951685, best_f1=0.5589024753951685
epoch 5: dev_f1=0.8381652104845115, f1=0.8421683138664272, best_f1=0.8421683138664272
epoch 6: dev_f1=0.8954025296125276, f1=0.9008064516129031, best_f1=0.9008064516129031
epoch 7: dev_f1=0.9125382262996942, f1=0.9154066203514507, best_f1=0.9154066203514507
epoch 8: dev_f1=0.922412018933937, f1=0.9244078269824924, best_f1=0.9244078269824924
epoch 9: dev_f1=0.9328527291452111, f1=0.9343891402714931, best_f1=0.9343891402714931
epoch 10: dev_f1=0.9412245732392928, f1=0.9437697724257578, best_f1=0.9437697724257578
epoch 11: dev_f1=0.9443654822335026, f1=0.9469627826792414, best_f1=0.9469627826792414
epoch 12: dev_f1=0.9449027395865159, f1=0.9493658041603247, best_f1=0.9493658041603247
epoch 13: dev_f1=0.951523125189758, f1=0.9538213349465618, best_f1=0.9538213349465618
epoch 14: dev_f1=0.9537215189873418, f1=0.9538741654865466, best_f1=0.9538741654865466
epoch 15: dev_f1=0.9575843263987073, f1=0.9592659810445654, best_f1=0.9592659810445654
epoch 16: dev_f1=0.9589671737389912, f1=0.9598, best_f1=0.9598
epoch 17: dev_f1=0.9598227771624207, f1=0.9594771241830065, best_f1=0.9594771241830065
epoch 18: dev_f1=0.9611999999999999, f1=0.9612728910237165, best_f1=0.9612728910237165
epoch 19: dev_f1=0.9617661816357251, f1=0.9612371962241415, best_f1=0.9612371962241415
epoch 20: dev_f1=0.9624135511676857, f1=0.9624060150375939, best_f1=0.9624060150375939
epoch 1: dev_f1=0.696763202725724, f1=0.6890459363957597, best_f1=0.6890459363957597
epoch 2: dev_f1=0.7138263665594856, f1=0.7060839760068551, best_f1=0.7060839760068551
epoch 3: dev_f1=0.7255411255411256, f1=0.746132848043676, best_f1=0.746132848043676
epoch 4: dev_f1=0.7320143884892085, f1=0.7423664122137403, best_f1=0.7423664122137403
epoch 5: dev_f1=0.7314897413024085, f1=0.7563025210084034, best_f1=0.7423664122137403
epoch 6: dev_f1=0.757453666398066, f1=0.7400508044030483, best_f1=0.7400508044030483
epoch 7: dev_f1=0.761904761904762, f1=0.7416974169741697, best_f1=0.7416974169741697
epoch 8: dev_f1=0.7769547325102879, f1=0.7600700525394046, best_f1=0.7600700525394046
epoch 9: dev_f1=0.7821878025169409, f1=0.7870182555780934, best_f1=0.7870182555780934
epoch 10: dev_f1=0.8087035358114234, f1=0.8072866730584851, best_f1=0.8072866730584851
epoch 11: dev_f1=0.8099910793933986, f1=0.8149568552253116, best_f1=0.8149568552253116
epoch 12: dev_f1=0.8146788990825687, f1=0.8141592920353983, best_f1=0.8141592920353983
epoch 13: dev_f1=0.8364611260053619, f1=0.823639774859287, best_f1=0.823639774859287
epoch 14: dev_f1=0.8442844284428442, f1=0.8325358851674641, best_f1=0.8325358851674641
epoch 15: dev_f1=0.8489871086556169, f1=0.8421052631578948, best_f1=0.8421052631578948
epoch 16: dev_f1=0.8599640933572711, f1=0.8543876567020251, best_f1=0.8543876567020251
epoch 17: dev_f1=0.8586762075134168, f1=0.8517823639774859, best_f1=0.8543876567020251
epoch 18: dev_f1=0.8658318425760287, f1=0.8617731172545281, best_f1=0.8617731172545281
epoch 19: dev_f1=0.8698752228163993, f1=0.8606870229007634, best_f1=0.8606870229007634
epoch 20: dev_f1=0.8696428571428573, f1=0.8563218390804598, best_f1=0.8606870229007634
epoch 1: dev_f1=0.8758620689655172, f1=0.8771116263663465, best_f1=0.8771116263663465
epoch 2: dev_f1=0.880438506337787, f1=0.8775376555337263, best_f1=0.8775376555337263
epoch 3: dev_f1=0.882716049382716, f1=0.8820039551746869, best_f1=0.8820039551746869
epoch 4: dev_f1=0.8856562922868743, f1=0.8847776695877961, best_f1=0.8847776695877961
epoch 5: dev_f1=0.8869506876886951, f1=0.8821635544108177, best_f1=0.8821635544108177
epoch 6: dev_f1=0.8858294157152452, f1=0.8821829855537721, best_f1=0.8821635544108177
epoch 7: dev_f1=0.8873517786561265, f1=0.8833386025924757, best_f1=0.8833386025924757
epoch 8: dev_f1=0.8968407479045777, f1=0.8908188585607941, best_f1=0.8908188585607941
